City,District,total_votes,CHP_votes,CHP_pct,AKP_votes,AKP_pct,DEM_votes,DEM_pct,MHP_votes,MHP_pct,YRP_votes,YRP_pct,ZP_votes,ZP_pct,IYIP_votes,IYIP_pct,TIP_votes,TIP_pct,BBP_votes,BBP_pct,OTH_votes,OTH_pct
Trabzon,Araklı,29993.0,2911.0,9.71,17643.0,58.82,105.0,0.35,4305.0,14.35,1833.0,6.11,486.0,1.62,1694.0,5.65,37.0,0.12,458.0,1.53,521.0,1.74
Trabzon,Arsin,20359.0,1792.0,8.8,10645.0,52.29,19.0,0.09,1844.0,9.06,844.0,4.15,229.0,1.12,1579.0,7.76,29.0,0.14,2991.0,14.69,387.0,1.9
Trabzon,Beşikdüzü,15222.0,2832.0,18.6,4352.0,28.59,37.0,0.24,1202.0,7.9,200.0,1.31,222.0,1.46,6000.0,39.42,43.0,0.28,53.0,0.35,281.0,1.85
Trabzon,Dernekpazarı,2757.0,243.0,8.81,1820.0,66.01,3.0,0.11,270.0,9.79,148.0,5.37,46.0,1.67,161.0,5.84,1.0,0.04,18.0,0.65,47.0,1.7
Trabzon,Düzköy,8922.0,2135.0,23.93,4237.0,47.49,11.0,0.12,1097.0,12.3,288.0,3.23,116.0,1.3,714.0,8.0,9.0,0.1,36.0,0.4,279.0,3.13
Trabzon,Hayrat,5681.0,336.0,5.91,3594.0,63.26,3.0,0.05,1105.0,19.45,225.0,3.96,47.0,0.83,255.0,4.49,23.0,0.4,26.0,0.46,67.0,1.18
Trabzon,Köprübaşı,3082.0,234.0,7.59,1876.0,60.87,0.0,0.0,410.0,13.3,191.0,6.2,34.0,1.1,211.0,6.85,3.0,0.1,73.0,2.37,50.0,1.62
Trabzon,Maçka,17565.0,3537.0,20.14,9150.0,52.09,25.0,0.14,2073.0,11.8,586.0,3.34,240.0,1.37,1264.0,7.2,43.0,0.24,180.0,1.02,467.0,2.66
Trabzon,Of,29843.0,2718.0,9.11,17097.0,57.29,126.0,0.42,5027.0,16.84,2053.0,6.88,480.0,1.61,1619.0,5.43,61.0,0.2,174.0,0.58,488.0,1.64
Trabzon,Ortahisar,213597.0,48697.0,22.8,92048.0,43.09,1038.0,0.49,19951.0,9.34,8816.0,4.13,4835.0,2.26,29133.0,13.64,668.0,0.31,2282.0,1.07,6129.0,2.87
Trabzon,Sürmene,16938.0,2373.0,14.01,8649.0,51.06,29.0,0.17,1958.0,11.56,1471.0,8.68,338.0,2.0,1479.0,8.73,38.0,0.22,199.0,1.17,404.0,2.39
Trabzon,Tonya,9298.0,2203.0,23.69,4209.0,45.27,13.0,0.14,608.0,6.54,377.0,4.05,121.0,1.3,1350.0,14.52,37.0,0.4,73.0,0.79,307.0,3.3
Trabzon,Vakfıkebir,18700.0,2599.0,13.9,8602.0,46.0,24.0,0.13,2321.0,12.41,1226.0,6.56,272.0,1.45,3160.0,16.9,38.0,0.2,97.0,0.52,361.0,1.93
Trabzon,Yomra,28589.0,4692.0,16.41,14280.0,49.95,84.0,0.29,2563.0,8.96,1137.0,3.98,698.0,2.44,3494.0,12.22,91.0,0.32,784.0,2.74,766.0,2.68
Trabzon,Çarşıbaşı,10771.0,1306.0,12.13,5001.0,46.43,7.0,0.06,1802.0,16.73,611.0,5.67,119.0,1.1,1673.0,15.53,19.0,0.18,44.0,0.41,189.0,1.75
Trabzon,Çaykara,9228.0,1256.0,13.61,5192.0,56.26,12.0,0.13,1211.0,13.12,398.0,4.31,138.0,1.5,641.0,6.95,22.0,0.24,118.0,1.28,240.0,2.6
Trabzon,Şalpazarı,7864.0,863.0,10.97,4236.0,53.87,1.0,0.01,940.0,11.95,231.0,2.94,57.0,0.72,1340.0,17.04,11.0,0.14,41.0,0.52,144.0,1.83
Tunceli,Hozat,3730.0,1656.0,44.4,388.0,10.4,1308.0,35.07,105.0,2.82,66.0,1.77,0.0,0.0,60.0,1.61,0.0,0.0,6.0,0.16,141.0,3.78
Tunceli,Mazgirt,5310.0,1519.0,28.61,524.0,9.87,2823.0,53.16,138.0,2.6,63.0,1.19,0.0,0.0,66.0,1.24,0.0,0.0,13.0,0.24,164.0,3.09
Tunceli,Merkez,24783.0,6670.0,26.91,2461.0,9.93,13354.0,53.88,772.0,3.12,191.0,0.77,0.0,0.0,590.0,2.38,0.0,0.0,53.0,0.21,692.0,2.79
Tunceli,Nazımiye,2333.0,1019.0,43.68,181.0,7.76,909.0,38.96,86.0,3.69,25.0,1.07,0.0,0.0,41.0,1.76,0.0,0.0,6.0,0.26,66.0,2.83
Tunceli,Ovacık,4712.0,2038.0,43.25,362.0,7.68,1896.0,40.24,109.0,2.31,23.0,0.49,0.0,0.0,82.0,1.74,0.0,0.0,9.0,0.19,193.0,4.1
Tunceli,Pertek,7534.0,2060.0,27.34,1232.0,16.35,3225.0,42.81,539.0,7.15,70.0,0.93,0.0,0.0,172.0,2.28,0.0,0.0,45.0,0.6,191.0,2.54
Tunceli,Pülümür,2693.0,1616.0,60.01,241.0,8.95,626.0,23.25,66.0,2.45,29.0,1.08,0.0,0.0,45.0,1.67,0.0,0.0,7.0,0.26,63.0,2.34
Tunceli,Çemişgezek,4953.0,1485.0,29.98,1405.0,28.37,430.0,8.68,1211.0,24.45,81.0,1.64,0.0,0.0,182.0,3.67,0.0,0.0,26.0,0.52,133.0,2.69
Uşak,Banaz,24011.0,7828.0,32.6,8545.0,35.59,113.0,0.47,2526.0,10.52,341.0,1.42,464.0,1.93,3059.0,12.74,56.0,0.23,351.0,1.46,728.0,3.03
Uşak,Eşme,23931.0,9426.0,39.39,7876.0,32.91,244.0,1.02,1699.0,7.1,162.0,0.68,297.0,1.24,3333.0,13.93,71.0,0.3,105.0,0.44,718.0,3.0
Uşak,Karahallı,6951.0,2391.0,34.4,2851.0,41.02,42.0,0.6,506.0,7.28,101.0,1.45,85.0,1.22,717.0,10.32,23.0,0.33,36.0,0.52,199.0,2.86
Uşak,Merkez,170406.0,44382.0,26.04,61837.0,36.29,2673.0,1.57,16194.0,9.5,2611.0,1.53,2956.0,1.73,34352.0,20.16,639.0,0.37,844.0,0.5,3918.0,2.3
Uşak,Sivaslı,13415.0,4926.0,36.72,4727.0,35.24,115.0,0.86,1425.0,10.62,160.0,1.19,146.0,1.09,1426.0,10.63,40.0,0.3,92.0,0.69,358.0,2.67
Uşak,Ulubey,8928.0,3456.0,38.71,2699.0,30.23,38.0,0.43,673.0,7.54,152.0,1.7,96.0,1.08,1347.0,15.09,25.0,0.28,208.0,2.33,234.0,2.62
Van,Bahçesaray,5785.0,603.0,10.42,2640.0,45.64,1713.0,29.61,147.0,2.54,371.0,6.41,53.0,0.92,0.0,0.0,0.0,0.0,45.0,0.78,213.0,3.68
Van,Başkale,19768.0,1203.0,6.09,3182.0,16.1,13843.0,70.03,447.0,2.26,227.0,1.15,357.0,1.81,0.0,0.0,0.0,0.0,40.0,0.2,469.0,2.37
Van,Edremit,65644.0,4719.0,7.19,16508.0,25.15,36627.0,55.8,2858.0,4.35,2590.0,3.95,707.0,1.08,0.0,0.0,0.0,0.0,306.0,0.47,1329.0,2.02
Van,Erciş,72949.0,6286.0,8.62,22620.0,31.01,34784.0,47.68,3936.0,5.4,1369.0,1.88,464.0,0.64,0.0,0.0,0.0,0.0,1487.0,2.04,2003.0,2.75
Van,Gevaş,13966.0,842.0,6.03,5387.0,38.57,6045.0,43.28,508.0,3.64,757.0,5.42,58.0,0.42,0.0,0.0,0.0,0.0,47.0,0.34,322.0,2.31
Van,Gürpınar,15255.0,948.0,6.21,4926.0,32.29,7939.0,52.04,494.0,3.24,460.0,3.02,97.0,0.64,0.0,0.0,0.0,0.0,37.0,0.24,354.0,2.32
Van,Muradiye,18680.0,3806.0,20.37,4269.0,22.85,9419.0,50.42,240.0,1.28,362.0,1.94,163.0,0.87,0.0,0.0,0.0,0.0,68.0,0.36,353.0,1.89
Van,Saray,8087.0,406.0,5.02,1371.0,16.95,5415.0,66.96,362.0,4.48,114.0,1.41,72.0,0.89,0.0,0.0,0.0,0.0,137.0,1.69,210.0,2.6
Van,Tuşba,71774.0,5388.0,7.51,17443.0,24.3,38256.0,53.3,5690.0,7.93,2127.0,2.96,361.0,0.5,0.0,0.0,0.0,0.0,825.0,1.15,1684.0,2.35
Van,Çaldıran,22268.0,2089.0,9.38,4190.0,18.82,13905.0,62.44,412.0,1.85,879.0,3.95,226.0,1.01,0.0,0.0,0.0,0.0,61.0,0.27,506.0,2.27
